step,time_hours,demand,solar,price,soc,battery_flow_mw,emergency_generator_mw,curtail_solar_mw,fcas_reserve_mw,net_grid_power_mw,unmet_demand_mw,overvoltage_mw,step_cost,cum_cost
0,0.0,38.0,0.0,140.0,0.5,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,39662.5
1,0.25,37.0,0.0,138.0,0.5,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,41262.76
2,0.5,37.0,0.0,135.0,0.5,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,42835.26
3,0.75,36.0,0.0,133.0,0.5,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,44347.27
4,1.0,36.0,0.0,130.0,0.5,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,45832.27
5,1.25,35.0,0.0,128.0,0.5,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,47258.53
6,1.5,34.0,0.0,125.0,0.5,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,48618.54
7,1.75,34.0,0.0,122.0,0.5,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,49953.04
8,2.0,33.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,51231.8
9,2.25,33.0,0.0,117.0,0.5,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,52485.8
10,2.5,32.0,0.0,115.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,53685.81
11,2.75,32.0,0.0,113.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,54869.81
12,3.0,32.0,0.0,110.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,56029.81
13,3.25,31.0,0.0,107.0,0.5,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,57130.32
14,3.5,31.0,0.0,105.0,0.5,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,58215.32
15,3.75,30.0,0.0,103.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,59250.33
16,4.0,30.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,60262.83
17,4.25,30.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,61275.33
18,4.5,30.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,62287.83
19,4.75,30.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,63300.33
20,5.0,30.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,64312.83
21,5.25,30.0,0.0,105.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,65362.83
22,5.5,31.0,0.0,110.0,0.5,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,66486.59
23,5.75,32.0,0.0,115.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,67686.6
24,6.0,32.0,0.0,120.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,68926.6
25,6.25,33.0,1.0,124.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,70198.6
26,6.5,34.0,2.0,128.0,0.5,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,71502.6
27,6.75,35.0,5.0,131.0,0.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,72747.64
28,7.0,36.0,8.0,135.0,0.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,73937.68
29,7.25,38.0,12.0,139.0,0.5,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,75068.72
30,7.5,39.0,16.0,142.0,0.5,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,76086.56
31,7.75,40.0,23.0,146.0,0.5,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,76856.17
32,8.0,42.0,30.0,150.0,0.5,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,77411.42
33,8.25,43.0,36.0,138.0,0.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,77714.42
34,8.5,44.0,42.0,125.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,77794.67
35,8.75,45.0,49.0,113.0,0.5095,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77844.71
36,9.0,46.0,55.0,100.0,0.530875,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77957.21
37,9.25,46.0,61.0,85.0,0.5665,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78144.71
38,9.5,45.0,66.0,70.0,0.616375,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78407.21
39,9.75,44.0,72.0,55.0,0.682875,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78757.21
40,10.0,44.0,78.0,40.0,0.763625,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79182.21
41,10.25,43.0,84.0,30.0,0.861,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79694.71
42,10.5,42.0,90.0,20.0,0.975,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80294.71
43,10.75,41.0,95.0,10.0,1.0,-10.526315789473694,0.0,0.0,0.0,-43.47368421052631,0.0,0.0,0.0,79901.76750692521
44,11.0,40.0,100.0,0.0,1.0,0.0,0.0,10.0,0.0,-50.0,0.0,0.0,0.0,79277.19343490305
45,11.25,39.0,104.0,-7.0,1.0,0.0,0.0,15.0,0.0,-50.0,0.0,0.0,0.0,78652.19343490305
46,11.5,38.0,108.0,-15.0,1.0,0.0,0.0,20.0,0.0,-50.0,0.0,0.0,0.0,78027.19343490305
47,11.75,37.0,113.0,-22.0,1.0,0.0,0.0,26.0,0.0,-50.0,0.0,0.0,0.0,77402.19343490305
48,12.0,36.0,118.0,-30.0,1.0,0.0,0.0,32.0,0.0,-50.0,0.0,0.0,0.0,76777.19343490305
49,12.25,36.0,119.0,-33.0,1.0,0.0,0.0,33.0,0.0,-50.0,0.0,0.0,0.0,76152.19343490305
50,12.5,35.0,120.0,-35.0,1.0,0.0,0.0,35.0,0.0,-50.0,0.0,0.0,0.0,75527.19343490305
51,12.75,34.0,118.0,-37.0,1.0,0.0,0.0,34.0,0.0,-50.0,0.0,0.0,0.0,74902.19343490305
52,13.0,34.0,116.0,-40.0,1.0,0.0,0.0,32.0,0.0,-50.0,0.0,0.0,0.0,74277.19343490305
53,13.25,34.0,113.0,-35.0,1.0,0.0,0.0,29.0,0.0,-50.0,0.0,0.0,0.0,73652.19343490305
54,13.5,35.0,110.0,-30.0,1.0,0.0,0.0,25.0,0.0,-50.0,0.0,0.0,0.0,73027.19343490305
55,13.75,36.0,105.0,-25.0,1.0,0.0,0.0,19.0,0.0,-50.0,0.0,0.0,0.0,72402.19343490305
56,14.0,36.0,100.0,-20.0,1.0,0.0,0.0,14.0,0.0,-50.0,0.0,0.0,0.0,71777.19343490305
57,14.25,37.0,96.0,-10.0,1.0,0.0,0.0,9.0,0.0,-50.0,0.0,0.0,0.0,71152.19343490305
58,14.5,38.0,91.0,0.0,1.0,0.0,0.0,3.0,0.0,-50.0,0.0,0.0,0.0,70527.19343490305
59,14.75,39.0,86.0,10.0,1.0,0.0,0.0,0.0,0.0,-47.0,0.0,0.0,0.0,69939.78343490305
60,15.0,40.0,82.0,20.0,1.0,0.0,0.0,0.0,0.0,-42.0,0.0,0.0,0.0,69415.03343490305
61,15.25,43.0,76.0,40.0,1.0,0.0,0.0,0.0,0.0,-33.0,0.0,0.0,0.0,69003.34343490304
62,15.5,46.0,70.0,60.0,1.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,68704.15343490304
63,15.75,49.0,64.0,80.0,1.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,68517.46343490305
64,16.0,52.0,58.0,100.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,68443.27343490305
65,16.25,57.0,50.0,138.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,68747.71343490305
66,16.5,62.0,42.0,175.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,69799.40343490304
67,16.75,71.0,35.0,212.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,72024.96343490305
68,17.0,80.0,28.0,250.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,89732.52343490305
69,17.25,89.0,22.0,300.0,1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,110346.02343490305
70,17.5,98.0,16.0,350.0,1.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,133240.77343490304
71,17.75,104.0,11.0,395.0,1.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,154239.48343490306
72,18.0,110.0,6.0,440.0,0.9526315789473684,18.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,164677.47343490305
73,18.25,112.0,4.0,460.0,0.8947368421052632,22.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,175594.97343490305
74,18.5,114.0,1.0,480.0,0.7631578947368421,50.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,184336.51343490306
75,18.75,115.0,0.0,490.0,0.6315789473684211,50.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,193492.80343490303
76,19.0,116.0,0.0,500.0,0.5000000000000001,50.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,202945.31343490304
77,19.25,115.0,0.0,500.0,0.3684210526315791,50.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,212264.07343490305
78,19.5,114.0,0.0,500.0,0.23684210526315805,50.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,221449.08343490306
79,19.75,111.0,0.0,480.0,0.105263157894737,50.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,229927.92343490306
80,20.0,108.0,0.0,460.0,0.04736842105263174,22.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,240851.67343490306
81,20.25,103.0,0.0,435.0,0.002631578947368582,17.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,251169.17343490306
82,20.5,98.0,0.0,410.0,0.002631578947368582,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,267073.11343490303
83,20.75,92.0,0.0,385.0,0.002631578947368582,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,276733.4734349031
84,21.0,85.0,0.0,360.0,0.002631578947368582,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,285127.71343490307
85,21.25,79.0,0.0,330.0,0.002631578947368582,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,292336.82343490305
86,21.5,74.0,0.0,300.0,0.002631578947368582,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,298534.57343490305
87,21.75,68.0,0.0,270.0,0.002631578947368582,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,303719.93343490304
88,22.0,62.0,0.0,240.0,0.002631578947368582,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,307982.793434903
89,22.25,58.0,0.0,220.0,0.002631578947368582,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,311680.45343490306
90,22.5,54.0,0.0,200.0,0.002631578947368582,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,314853.11343490303
91,22.75,50.0,0.0,180.0,0.002631578947368582,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,317540.77343490307
92,23.0,46.0,0.0,160.0,0.002631578947368582,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,319783.43343490304
93,23.25,44.0,0.0,155.0,0.002631578947368582,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,321873.4734349031
94,23.5,42.0,0.0,150.0,0.002631578947368582,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,323816.01343490306
95,23.75,40.0,0.0,145.0,0.002631578947368582,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,325616.05343490303
96,24.0,40.0,0.0,150.0,0.002631578947368582,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,327466.05343490303
97,24.25,39.0,0.0,147.0,0.002631578947368582,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,329240.56343490304
98,24.5,39.0,0.0,145.0,0.002631578947368582,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,330995.56343490304
99,24.75,38.0,0.0,142.0,0.002631578947368582,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,332677.07343490305
100,25.0,38.0,0.0,140.0,0.002631578947368582,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,334339.57343490305
101,25.25,37.0,0.0,138.0,0.002631578947368582,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,335939.83343490306
102,25.5,36.0,0.0,135.0,0.002631578947368582,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,337469.8434349031
